"","when_began_current"
"1175","2006"
"1176","2006"
"1177","2015"
"1178","2015"
"1179","2023"
"1180","2023"
"1181","2018"
"1182","2018"
"1183","2018"
"1184","2018"
"1185","2018"
"1186","1990"
"1187","1982"
"1188","1982"
"1189","1997"
"1190","1997"
"1191","1997"
"1192","1997"
"1193","1997"
"1194","2023"
"1195","2023"
"1196","2023"
"1197","2023"
"1198","2023"
"1199","1992"
"1200","1992"
"1201","1992"
"1202","1992"
"1203","1996"
"1204","1996"
"1205","1996"
"1206","2024"
"1207","2024"
"1208","2024"
"1209","2024"
"1210","25"
"1211","25"
"1212","25"
"1213","25"
"1214","25"
"1215","25"
"1216","25"
"1217","25"
"1218","2013"
"1219","1996"
"1220","1996"
"1221","1996"
"1222","1996"
"1223","1996"
"1224","2012"
"1225","2012"
"1226","2006"
"1227","3"
"1228","3"
"1229","3"
"1230","2013"
"1231","2013"
"1232","2014"
"1233","2006"
"1234","2006"
"1235","2006"
"1236","2006"
"1237","2012"
"1238","2012"
"1239","2012"
"1240","2012"
"1241","2012"
"1242","2012"
"1243","2003"
"1244","2003"
"1245","2003"
"1246","2003"
"1247","2016"
"1248","2016"
"1249","2016"
"1250","2016"
"1251","2016"
"1252","2016"
"1253","2016"
"1254","2016"
"1255","2000"
"1256","2000"
"1257","2000"
"1258","2019"
"1259","2019"
"1260","2019"
"1261","2019"
"1262","2019"
"1263","2019"
"1264","2019"
"1265","2012"
"1266","2012"
"1267","2012"
"1268","2012"
"1269","1979"
"1270","1979"
"1271","1979"
"1272","1979"
"1273","1979"
"1274","1979"
"1275","2006"
"1276","2019"
"1277","2023"
"1278","2023"
"1279","2019"
"1280","2001"
"1281","2023"
"1282","2023"
"1283","2023"
"1284","2023"
"1285","2023"
"1286","2023"
"1287","2023"
"1288","2023"
"1289","1981"
"1290","1981"
"1291","2005"
"1292","2005"
"1293","2005"
"1294","2005"
"1295","1993"
"1296","1993"
"1297","1993"
"1298","1993"
"1299","1993"
"1300","1993"
"1301","1993"
"1302","2014"
"1303","2014"
"1304","2014"
"1305","2014"
"1306","2014"
"1307","2023"
"1308","2023"
"1309","2013"
"1310","2013"
"1311","2013"
"1312","2016"
"1313","2006"
"1314","2006"
"1315","1998"
"1316","1998"
"1317","1998"
"1318","1998"
"1319","2008"
"1320","2008"
"1321","2008"
"1322","1985"
"1323","2014"
"1324","2014"
"1325","2014"
"1326","1985"
"1327","1985"
"1328","1985"
"1329","1985"
"1330","2013"
"1331","2013"
"1332","2010"
"1333","2010"
"1334","2006"
"1335","2006"
"1336","2004"
"1337","2004"
"1338","2004"
"1339","1985"
"1340","2010"
"1341","2010"
"1342","2008"
"1343","2008"
"1344","1999"
"1345","1999"
"1346","1999"
"1347","1991"
"1348","2014"
"1349","1994"
"1350","1985"
"1351","1979"
"1352","1979"
"1353","2011"
"1354","2011"
"1355","2011"
"1356","1999"
"1357","2011"
"1358","2011"
"1359","2011"
"1360","2011"
"1361","2016"
"1362","2016"
"1363","2000"
"1364","2012"
"1365","2012"
"1366","1996"
"1367","1987"
"1368","1987"
"1369","2016"
"1370","2016"
"1371","2016"
"1372","2016"
"1373","2016"
"1374","2016"
"1375","1989"
"1376","1989"
"1377","1989"
"1378","1997"
"1379","1997"
"1380","1997"
"1381","2003"
"1382","2003"
"1383","2003"
"1384","1986"
"1385","1986"
"1386","1986"
"1387","2002"
"1388","2002"
"1389","2002"
"1390","2023"
"1391","2023"
"1392","2023"
"1393","2003"
"1394","2003"
"1395","1989"
"1396","1989"
"1397","2009"
"1398","2009"
"1399","2009"
"1400","1997"
"1401","1997"
"1402","1989"
"1403","1987"
"1404","1987"
"1405","2012"
"1406","2012"
"1407","1979"
"1408","1979"
"1409","1979"
"1410","1979"
"1411","1979"
"1412","1979"
"1413","1989"
"1414","125"
"1415","125"
"1416","125"
"1417","1989"
"1418","1989"
"1419","1989"
"1420","2015"
"1421","2015"
"1422","2015"
"1423","2014"
"1424","2014"
"1425","2014"
"1426","2014"
"1427","2012"
"1428","2012"
"1429","1984"
"1430","1987"
"1431","1991"
"1432","1991"
"1433","1991"
"1434","2005"
"1435","2005"
"1436","2005"
"1437","2012"
"1438","2011"
"1439","2011"
"1440","2011"
"1441","1989"
"1442","2012"
"1443","2017"
"1444","2017"
"1445","1987"
"1446","1987"
"1447","2016"
"1448","2016"
"1449","2016"
"1450","2016"
"1451","1974"
"1452","1978"
"1453","1993"
"1454","1984"
"1455","2023"
"1456","1962"
"1457","2015"
"1458","2015"
"1459","2015"
"1460","2015"
"1461","2017"
"1462","2017"
"1463","2005"
"1464","2005"
"1465","2005"
"1466","2005"
"1467","2009"
"1468","2009"
"1469","2002"
"1470","2002"
"1471","2018"
"1472","2018"
"1473","2002"
"1474","2002"
"1475","1983"
"1476","1983"
"1477","1983"
"1478","1977"
"1479","1977"
"1480","2011"
"1481","2011"
"1482","2011"
"1483","2015"
"1484","1992"
"1485","1992"
"1486","2021"
"1487","2021"
"1488","2021"
"1489","2013"
"1490","2013"
"1491","1995"
"1492","2000"
"1493","2000"
"1494","2006"
"1495","2000"
"1496","2000"
"1497","1975"
"1498","1996"
"1499","1994"
"1500","1994"
"1501","2019"
"1502","2019"
"1503","2019"
"1504","2002"
"1505","2002"
"1506","1962"
"1507","1962"
"1508","1971"
"1509","1971"
"1510","1971"
"1511","1991"
"1512","1991"
"1513","1991"
"1514","1989"
"1515","1989"
"1516","1989"
"1517","1989"
"1518","1989"
"1519","1989"
"1520","1989"
"1521","2001"
"1522","2013"
"1523","2013"
"1524","2007"
"1525","2007"
"1526","1986"
"1527","1986"
"1528","2001"
"1529","1979"
"1530","2000"
"1531","2023"
"1532","1984"
"1533","1984"
"1534","2022"
"1535","2021"
"1536","2017"
